statement,cluster,tsne_1,tsne_2,cluster_size,cluster_keywords,cluster_coherence
"Users tend to under-rely on AI systems due to overestimating their own problem-solving abilities, despite understanding system accuracy.",3,26.371428,0.7753981,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
"AI systems using personalized models can perform stylometry, predicting the player based on move patterns.",0,-1.6031015,-4.435579,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
Text-to-image AI tools reduce design fixation by providing diverse reference images.,7,-31.618525,3.101957,109,"ai, generative, generative ai, enhance, creative, models, tools, design, enhances, creativity",-0.7454560666892962
The AI-driven PCR-Chain achieves syntax error correction without requiring program analysis.,0,-20.613277,-29.948933,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
Trust in AI-integrated systems is more influenced by human actors than by the system's features.,3,28.232885,-11.351187,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
Fashion Recommender Systems show potential in cold-start scenarios with limited data for gift purchases.,6,6.6497855,-45.69085,117,"models, accuracy, learning, performance, model, improves, data, machine, improve, users",-0.8384698864743367
"AI input offers new perspectives, expanding artistic expression avenues.",7,-26.350418,4.9508934,109,"ai, generative, generative ai, enhance, creative, models, tools, design, enhances, creativity",-0.7454560666892962
Graph Influence Function (GIF) enhances graph unlearning by efficiently estimating parameter changes with improved efficacy and efficiency.,6,-50.17435,-11.218539,117,"models, accuracy, learning, performance, model, improves, data, machine, improve, users",-0.8384698864743367
The Mindless Attractor intervention helps learners refocus attention by perturbing video voice without requiring conscious awareness.,5,-20.05097,20.388083,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
Stylette facilitates user experimentation with CSS by suggesting multiple alternatives for a single styling goal.,5,-57.75319,2.730058,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
EvalLM helps developers create more diverse criteria for prompt evaluation.,5,-32.84007,-28.283684,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
AI systems can enhance telenurses' decision-making by suggesting questions during patient calls.,0,-3.5616777,-27.216986,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
Principal component analysis identifies two dimensions of AI: human involvement and AI autonomy.,2,29.513075,10.662392,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
Participants prefer selecting from multiple AI-generated suggestions over using non-diegetic prompts.,4,-24.54858,18.20081,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
Machine learning enriches UX research by providing insights into users' emotional experiences.,4,-21.028505,-12.955907,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
"Contrastive learning enhances lipreading representations, achieving an F1-score of 0.8947 for 25-command classification using only one shot.",6,-26.379978,-24.62969,117,"models, accuracy, learning, performance, model, improves, data, machine, improve, users",-0.8384698864743367
"Irreducible Infeasible Sets (IIS) are used by AI to generate explanations for unsolvable planning problems, demonstrating efficacy in hybrid domains.",1,3.8372526,-5.2331557,106,"ai, explanations, trust, ai explanations, user, enhance, transparency, users, model, models",-0.7234700343267677
DHH adults prefer on-demand lexical simplification systems over automatic simplification.,4,-13.32226,48.30226,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
A trauma-informed algorithmic tool improves outcomes when properly integrated into the agency's ecosystem.,0,15.843383,-29.062218,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
Public opinion supports the responsible development and use of AI.,3,37.79464,10.070246,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
Visual Captions improve communication by providing relevant visuals during video calls.,5,-29.832008,-3.7025924,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
AnalogiLead resulted in 12x fewer decision changes compared to a baseline interface.,5,1.0035126,-12.319403,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
Alternate translations provided by generative AI models enhance software engineers' understanding of code translation tasks.,7,-25.627893,-18.757385,109,"ai, generative, generative ai, enhance, creative, models, tools, design, enhances, creativity",-0.7454560666892962
"Older adults exhibited agency by choosing when to adapt to the Virtual Occupational Therapist's (VOT) actions, demonstrating autonomy in their interaction with the AI.",2,10.94204,27.434034,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
AI dance partners enhance co-creativity by facilitating dynamic improvisational interactions.,7,-25.823513,7.321978,109,"ai, generative, generative ai, enhance, creative, models, tools, design, enhances, creativity",-0.7454560666892962
Partial automation allows players with motor impairments to engage in digital games by delegating control of inaccessible inputs to an AI partner.,2,5.09663,43.693405,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
AI in games reveals misconceptions about AI systems by integrating interactions from other domains.,2,-6.921737,11.650874,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
AI prediction algorithms enhance self-reflection by identifying stress patterns in users' daily activities.,0,-14.738014,10.490128,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
Incorporating simulated users in product evaluation offers innovative yet challenging potential.,4,-19.055323,32.902546,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
"AI authority results in user attitudes of faith, forgiveness, self-blame, and gratitude, leading to potential individual and societal harm.",3,33.25702,4.1848407,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
People are less accurate at identifying the truthfulness of synthetic face images generated by newer algorithms.,6,43.348293,-25.882023,117,"models, accuracy, learning, performance, model, improves, data, machine, improve, users",-0.8384698864743367
"Time pressure influences the effectiveness of AI assistance, making certain AI assistances more beneficial compared to no-time-pressure scenarios.",2,23.854954,13.887072,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
Users evaluate AI-based symptom checkers by comparing them with established medical authorities and other health technologies.,0,-0.5892622,-33.00563,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
Musical AIs enhance therapeutic effectiveness by integrating into emotion-focused therapy sessions.,0,-40.911594,19.327517,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
People expect developers of machines to pay higher legal damages than users for machine-caused harms.,4,51.88041,13.690121,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
CLEAR platform enhances robotics usability for natural human interaction by utilizing large language models.,5,-30.683567,-16.071964,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
ChatGPT highlights the need for ethical regulations in AI use and deployment.,3,9.402258,10.319178,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
AI development in resource-constrained environments faces tensions between privacy and ubiquity.,3,42.722313,4.5470214,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
"Users show increased reliance on conversational AI over the course of tasks, indicating automation complacency.",4,26.666565,9.21298,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
"LIMEADE enhances user control, trust, and satisfaction in neural recommender systems for scientific papers.",4,7.9979725,-38.83545,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
"ChatGPT is suitable for comprehending broad subject domains, generating creative solutions, and uncovering new information.",5,-23.795732,32.780514,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
"Generative audio research papers predominantly highlight positive impacts, with 65% acknowledging them, while less than 10% address negative impacts, indicating a significant gap in ethical considerations.",4,-42.024612,11.413258,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
Non-human metaphorical representations of conversational agents enhance intrinsic motivation and trust among workers.,2,13.066065,31.631907,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
ForSense accelerates online research using neural-driven machine reading.,5,-46.043835,-23.960472,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
Computer-Assisted Protected Time increases self-reported performance and job resources among workers.,4,10.787751,40.860386,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
AI systems' warmth perception influences user choice even when competence is lacking.,2,17.5437,17.83257,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
Organizational pressures affect the use of AI-based decision support tools in child welfare.,3,47.474133,-3.04561,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
AAR/AI participants were nearly six times more likely to find any particular bug compared to non-AAR/AI participants.,2,-3.384992,-46.361744,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
Large language models enhance Wellbeing Assessment Tools by improving natural language content processing.,6,-31.239998,-18.861126,117,"models, accuracy, learning, performance, model, improves, data, machine, improve, users",-0.8384698864743367
The AI interface Metamorpheus aids in vivid dream recall and meaningful self-reflection.,7,-16.209515,8.314794,109,"ai, generative, generative ai, enhance, creative, models, tools, design, enhances, creativity",-0.7454560666892962
LLM augmentation improves ease-of-use in AI-CDSS for managing upper gastrointestinal bleeding.,0,0.6584071,-25.083975,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
"Comparative AI explanations may expose algorithm limitations, affecting user perception.",1,17.870049,-3.3502908,106,"ai, explanations, trust, ai explanations, user, enhance, transparency, users, model, models",-0.7234700343267677
DAPPER achieves up to 396x less computation overhead compared to baseline methods.,6,-27.007435,-39.739784,117,"models, accuracy, learning, performance, model, improves, data, machine, improve, users",-0.8384698864743367
The interactive system RELIC helps users verify the reliability of text generated by Large Language Models by identifying semantic-level variations.,6,-31.24439,-24.230318,117,"models, accuracy, learning, performance, model, improves, data, machine, improve, users",-0.8384698864743367
Participant's clinical role significantly influences perception of clinical AI support systems.,3,5.5788546,-31.91531,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
Patchview facilitates the alignment of AI model behaviors with user intentions through corrective interactions.,5,-38.964844,-9.070039,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
A visual sandbox approach reduces the learning curve of programming machine learning tasks.,5,-24.867186,-6.986899,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
The AI system enables the segmentation of continuous motion capture data into distinct body actions.,0,-36.1024,22.013428,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
AI simulations increase user empathy and understanding by simulating LGBTQIA+ 'coming out' conversations.,2,-4.532189,17.138298,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
Users' perceived learning about facial recognition strengths and limitations improved after using the AI-based Civil War Twin application.,4,8.202272,13.889873,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
The AI-assisted method allows for the adaptation of bias tests to evolving cultural contexts.,0,22.091427,-36.609417,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
"Participants exhibit greater agency and logical engagement in tasks, despite a tendency to adhere to initial responses.",4,9.759461,28.63939,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
Large language models help researchers understand readers' perspectives in QA-style articles.,6,-33.329624,-18.63032,117,"models, accuracy, learning, performance, model, improves, data, machine, improve, users",-0.8384698864743367
Clinical Documentation Integrity Specialists improve documentation quality through flexible AI integration and human control.,0,-8.026183,-24.826,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
"Collaborative exploration with AI empowers analysts to tackle complex, novel threats in Security Operations Centres.",0,-10.623047,-15.301228,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
Peanut significantly accelerates the audio-visual data annotation process by reducing manual effort.,5,-39.603092,-30.806849,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
AI semantic control dimensions in ReStyle-MusicVAE allow users to express personal style during music creation.,7,-43.203796,16.588005,109,"ai, generative, generative ai, enhance, creative, models, tools, design, enhances, creativity",-0.7454560666892962
The AI-driven HPU virtualization framework improves resource efficiency in Human-Machine Computing systems by effectively managing virtual HPU configurations.,0,-5.634764,1.3900534,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
Photo Steward's validation workflow encourages deliberation among users when making photo ID decisions.,5,-39.890434,-38.616577,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
ReadingQuizMaker allows instructors to create high-quality questions by integrating NLP models into their natural workflows.,5,-38.70431,-14.770706,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
Fairness perceptions are complexly influenced by how AI systems treat individuals in different groups.,3,40.308403,-5.280848,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
VIVID enables efficient selection and revision of pedagogical dialogues by instructors.,5,-30.308283,-8.091491,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
"Generative AI models like GPT-2 enable novel forms of artistic collaboration by supporting entangled authorship, which de-individualizes knowledge production.",7,-36.900993,7.7489915,109,"ai, generative, generative ai, enhance, creative, models, tools, design, enhances, creativity",-0.7454560666892962
"Designers perceive AI tools as having potential value in their design process, depending on their desired role for the AI.",2,-25.471922,-1.2995982,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
Version control systems like SHARP provide new perspectives on the utility of versioning in live coding contexts.,5,-49.03785,20.313736,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
Large Language Models (LLMs) can assess robot behavior similarly to human observers in Human Robot Interaction settings.,6,-31.54637,-17.355402,117,"models, accuracy, learning, performance, model, improves, data, machine, improve, users",-0.8384698864743367
People demonstrate different gazing behaviors when viewing and rating real faces compared to those generated by older machine learning algorithms.,6,43.39424,-25.8712,117,"models, accuracy, learning, performance, model, improves, data, machine, improve, users",-0.8384698864743367
Generative AI systems serve as both augmenting tools and autonomous collaborators in creative co-production.,7,-37.053257,8.792519,109,"ai, generative, generative ai, enhance, creative, models, tools, design, enhances, creativity",-0.7454560666892962
AI systems benefit from early error detection by employing multiple sensor layers.,0,16.262161,-23.370043,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
"AI-driven self-diagnosis apps are likely to be used by more than half of the participants, particularly when integrated into general practitioner care.",0,-1.5788728,-29.917387,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
AI dermatologist descriptions enhance user perceptions of ability and benevolence.,0,10.88569,-24.29996,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
AI-generated patient-specific analysis boosts therapist usage intent compared to traditional systems ($p < 0.05$).,0,-1.5745795,-22.002272,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
"Human responses are favored by young people when addressing sensitive topics, such as suicidal thoughts.",4,3.5417092,19.227455,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
"Design concepts such as suggestion quality indicators, usage stats, and control mechanisms aid developers in making trust judgments about AI tools.",1,7.8053155,-18.807468,106,"ai, explanations, trust, ai explanations, user, enhance, transparency, users, model, models",-0.7234700343267677
Creative exploration of tangible AI helps designers gain new perspectives beyond anthropomorphic forms.,7,-27.844261,3.8454077,109,"ai, generative, generative ai, enhance, creative, models, tools, design, enhances, creativity",-0.7454560666892962
ExpressEdit enhances novice video editors' ability to express and implement editing ideas through natural language and sketching.,5,-48.69869,0.7868198,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
"Design elements such as language, visual cues, and warnings facilitate interactivity and accessibility of AI model documentation.",1,-3.123297,-11.143592,106,"ai, explanations, trust, ai explanations, user, enhance, transparency, users, model, models",-0.7234700343267677
Players develop mental models of adversarial AI based on focus (top-down vs. bottom-up) and style (systematic vs. reactive).,2,20.37105,25.201075,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
Current cloud-based sentiment analysis services are not sufficiently accurate for effective human-agent interaction.,4,57.05319,9.518115,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
AI-powered code generation tools require improved affordances for effective trust evaluation by developers.,1,7.8576837,-19.876696,106,"ai, explanations, trust, ai explanations, user, enhance, transparency, users, model, models",-0.7234700343267677
AI bias-aware search engines enhance user awareness of algorithmic biases by providing interactive prototypes.,0,24.727682,-34.515247,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
"AI mediators are assessed most favorably, while AI tools are assessed least favorably by laypeople.",3,34.56185,8.219447,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
"Learning Engagement mechanisms, Z2O-Mode and D2O-Mode, enhance users' accurate mental models of robot learning progress.",5,-4.5323615,27.820646,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
"Social computing courses require diverse skill sets from HCI, CS, Sociology, and Economics.",4,12.672163,-34.95617,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
"The interactive system, Luminate, enhances creative potential by enabling structured exploration of design space with large language models.",7,-38.079872,-3.7986844,109,"ai, generative, generative ai, enhance, creative, models, tools, design, enhances, creativity",-0.7454560666892962
AI systems enhance resource allocation efficiency in call-based maternal and child health programs.,0,-3.3339827,-27.889395,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
"Participants perceived human partners as more likeable, intelligent, and creative than AI partners.",2,19.528513,20.322437,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
Light and visualisation feedback in autonomous vehicles enhance user experience compared to no-feedback environments.,4,-13.145502,35.14307,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
AudiLens enables speakers to receive diverse feedback by simulating various audience personas using a large-language model.,5,-44.031376,-14.139704,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
